esd.UspEsdLoadDataDemandStitch,dbo.UspEsdLoadDataDemandStitch,30
esd.UspEsdLoadDataSupplyStitch,dbo.UspEsdLoadDataSupplyStitch,30
gui.UspFetchEsdActiveValues,dbo.UspGuiFetchEsdActiveValues,30
gui.UspFetchTableLoadGroups,dbo.UspGuiFetchTableLoadGroups,30
esd.UspEsdFetchSourceVersions,dbo.UspEsdFetchSourceVersions,29
esd.EsdDataSupplyStitchSnapshot,dbo.EsdSupplyByFgWeekSnapshot,29
etl.TableLoadStatusHistory,dbo.EtlTableLoadStatusHistory,29
etl.BatchRunStatusReport2,dbo.EtlBatchRunStatusReport2,28
esd.UspEsdRefImapLastEsdData,dbo.UspEsdRefImapLastEsdData,28
etl.BatchRunStatusReport,dbo.EtlBatchRunStatusReport,27
esd.EsdDataOneWoiPreHorizonWeek,dbo.MpsOneWoiPreHorizonWeek,27
esd.EsdDataAdjAtmConstrainedSupply,dbo.AdjAtmConstrainedSupply,27
gui.UIEsdVersionBatchIds,dbo.GuiUIEsdVersionBatchIds,27
esd.UspCreateEsdVersion,dbo.UspEsdCreateEsdVersion,26
gui.UspFetchAdjFgSupply,dbo.UspGuiFetchAdjFgSupply,26
gui.UspFetchDataColumns,dbo.UspGuiFetchDataColumns,26
gui.UspFetchEsdVersions,dbo.UspGuiFetchEsdVersions,26
gui.UspFetchReconMonths,dbo.UspGuiFetchReconMonths,26
gui.UspFetchWafersList,dbo.UspGuiFetchWafersList,25
etl.UspProcessRefIMAP,dbo.UspEtlProcessRefIMAP,24
esd.UspEsdPublishVersion,dbo.UspEsdPublishVersion,24
gui.UspFetchAdjDemand,dbo.UspGuiFetchAdjDemand,24
gui.UspFetchDataSheet,dbo.UspGuiFetchDataSheet,24
esd.EsdDataFinalSolverDemand,dbo.MpsFinalSolverDemand,24
etl.RefTableLoadGroupMap,dbo.EtlTableLoadGroupMap,24
gui.UIDataLoadRequest,dbo.GuiUIDataLoadRequest,24
etl.UspBeginBatchRun,dbo.UspEtlBeginBatchRun,23
etl.UspQueueBatchRun,dbo.UspEtlQueueBatchRun,23
gui.UspFetchControls,dbo.UspGuiFetchControls,23
esd.EsdDataTotTgtWoiWithAdj,dbo.MpsTotTgtWoiWithAdj,23
esd.EsdVersionActionLog,dbo.EsdVersionActionLog,23
esd.EsdDataDemandStitchByStfMonth,dbo.EsdDemandByDpMonth,22
esd.EsdDataSupplyStitchByStfMonth,dbo.EsdSupplyByDpMonth,22
etl.RefTableDependency,dbo.EtlTableDependency,22
etl.RefTableLoadGroup,dbo.EtlTableLoadGroups,22
etl.TableLoadStatus,dbo.EtlTableLoadStatus,22
etl.UpdateBatchRun,dbo.EtlUpdateBatchRun,21
esd.UspEsdCopyVersion,dbo.UspEsdCopyVersion,21
gui.UspGetColorRGB,dbo.UspGuiGetColorRGB,21
dbo.DataActualFgMovements,dbo.ActualFgMovements,21
esd.EsdAdjSellableSupply,dbo.AdjSellableSupply,21
esd.EsdDataDemandStitchSnapshot,dbo.EsdDemandByDpWeek,21
esd.EsdDataSupplyStitch,dbo.EsdSupplyByFgWeek,21
esd.EsdSourceVersions,dbo.EsdSourceVersions,21
esd.EsdVersionsBypass,dbo.EsdVersionsBypass,21
etl.ConfigSsisParameters,dbo.EtlSsisParameters,21
etl.RefBatchRunStatus,dbo.EtlBatchRunStatus,21
esd.UspEsdQueueBatch,dbo.UspEsdQueueBatch,20
esd.EsdDataWoiWithoutExcess,dbo.WoiWithoutExcess,20
etl.UspPurgeData,dbo.UspEtlPurgeData,19
gui.UspFetchIMAP,dbo.UspGuiFetchIMAP,19
esd.EsdDataDemandActual,dbo.MpsDemandActual,19
esd.EsdBaseVersions,dbo.EsdBaseVersions,19
esd.EsdDataMrbBonusback,dbo.MpsMrbBonusback,19
gui.UIDataColumn,dbo.GuiUIDataColumn,19
etl.UspSSISWrap,dbo.UspEtlSSISWrap,18
dbo.DataActualMmbpJdPubFnlUnits,dbo.DemandForecast,18
esd.EsdDataMmbpJdPubFnlUnits,dbo.DemandForecast,18
esd.EsdDataMmbpSiFcstPub,dbo.DemandForecast,18
esd.EsdReconMonths,dbo.EsdReconMonths,18
gui.UIDataSheet,dbo.GuiUIDataSheet,18
esd.UspEsdJdVsFsd,dbo.UspEsdJdVsFsd,17
dbo.RefIntelCalendar,dbo.Intelcalendar,17
etl.StgDataActualBoh,dbo.StgActualBoh,16
dbo.DataActualSupply,dbo.ActualSupply,16
etl.BatchRun,dbo.EtlBatchRuns,16
gui.UIControl,dbo.GuiUIControl,16
esd.EsdAdjFgSupply,dbo.AdjFgSupply,15
esd.EsdVersions,dbo.EsdVersions,15
gui.UIColor,dbo.GuiUIColor,14
dbo.DataActualBoh,dbo.ActualBoh,13
esd.EsdAdjDemand,dbo.AdjDemand,13
esd.EsdDataDemand,dbo.MpsDemand,13
esd.EsdDataOneWoi,dbo.MpsOneWoi,13
esd.EsdDataSupply,dbo.MpsSupply,13
etl.RefTable,dbo.EtlTables,13
esd.EsdDataBoh,dbo.MpsBoh,10
esd.EsdDataEoh,dbo.MpsEoh,10
